Windows Registry Key(s),Autonomous System(s),MAC Address(s),ssdeep(s),URL(s),IPv6(s),Directory(s),IP(s),MD5(s),SHA-384(s),Email(s),SHA-1(s),File Path(s),SHA-256(s),IPv4-CIDR(s),SHA-512(s),Domain(s),SHA-224(s)
,,,,hxxps[:]//is[.]gd/ry2QWB,,,,,,,7090039a6b87cae0d0607821180e41733617fad7,,7720a8205434301dcd3f13dba8c1aa320dd4ed27d4c3f8f1ab11b0b14913ab09,,,,
,,,,hxxps[:]//is[.]gd/FQLSXL,,,,,,,5ab4e9241270f7fe7b63174a8ecdc064078d47a6,,6794e14352a7425281e343953bc6ffce83f670bd0b14a124e4688caddf59c570,,,,
,,,,hxxps[:]//is[.]gd/EPC1WA,,,,,,,,,4eb742527caaf81e7ba3fb586c702564b7149db8403471d0048b7f75a5f8da73,,,,
,,,,hxxps[:]//is[.]gd/6MI0xY,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/HPzgGa,,,,,,,,,,,,,
,,,,hxxps[:]//notafiscal[.]relatorio-fiscais[.]store/nota-estadual/?notafiscal=00400713[.]986745,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/xnz0zL,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/xYtayt,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/31lZKX,,,,,,,,,,,,,
,,,,hxxps[:]//notafiscal[.]relatorio-fiscais[.]store/nota-estadual/cliques[.]php,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/uZ9Kgb,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/dOOd3n,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/rOuxtA,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/bpfHs8,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/OoGMj8,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/9Zflrw,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/CYs0pW,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/yTTykV,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/aWAHxV,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/7eku2S,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/8xvqxH,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/SmjAxl,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/Eu7caZ,,,,,,,,,,,,,
,,,,hxxps[:]//is[.]gd/5yChfC,,,,,,,,,,,,,
